Epoch,return,loss,epsilon
1,-4.0,0.0,1.0
2,-5.0,0.0,0.99964
3,-3.0,0.0,0.9992801295999999
4,-2.0,0.0,0.9989203887533439
5,-5.0,0.0,0.9985607774133927
6,-2.0,0.0,0.9982012955335238
7,-4.0,0.0,0.9978419430671317
8,-3.0,0.0,0.9974827199676275
9,-3.0,0.0,0.9971236261884391
10,-5.0,0.0,0.9967646616830113
11,-3.0,2.865950345993042,0.9964058264048054
12,-5.0,2.7625694274902344,0.9960471203072996
13,-2.0,2.962538957595825,0.9956885433439889
14,-4.0,2.694213390350342,0.995330095468385
15,-3.0,2.824968099594116,0.9949717766340164
16,-3.0,2.894277572631836,0.9946135867944281
17,-4.0,2.9632210731506348,0.9942555259031821
18,-3.0,3.260073184967041,0.9938975939138569
19,-5.0,2.7011942863464355,0.9935397907800478
20,-2.0,3.027778148651123,0.993182116455367
21,-3.0,2.8285787105560303,0.9928245708934431
22,-3.0,2.9937796592712402,0.9924671540479214
23,-3.0,2.624868869781494,0.9921098658724641
24,-3.0,3.0147147178649902,0.99175270632075
25,-3.0,2.8028817176818848,0.9913956753464744
26,-3.0,2.9423155784606934,0.9910387729033496
27,-4.0,2.8616926670074463,0.9906819989451044
28,-5.0,2.783151149749756,0.9903253534254842
29,-4.0,2.9229092597961426,0.989968836298251
30,-1.0,2.7118401527404785,0.9896124475171837
31,-2.0,2.9177379608154297,0.9892561870360774
32,-4.0,2.806431293487549,0.9889000548087444
33,-4.0,2.9957504272460938,0.9885440507890133
34,-3.0,2.5987744331359863,0.9881881749307292
35,-5.0,2.921759605407715,0.9878324271877541
36,-3.0,2.7628369331359863,0.9874768075139665
37,0.0,2.9772372245788574,0.9871213158632615
38,-4.0,2.8125081062316895,0.9867659521895507
39,-3.0,2.870255947113037,0.9864107164467624
40,-4.0,2.830784320831299,0.9860556085888416
41,-2.0,2.8909523487091064,0.9857006285697496
42,-2.0,2.837005138397217,0.9853457763434644
43,-2.0,3.1955580711364746,0.9849910518639807
44,-4.0,2.89217209815979,0.9846364550853096
45,-2.0,3.328660726547241,0.9842819859614789
46,-4.0,2.6430554389953613,0.9839276444465327
47,-4.0,2.823983669281006,0.9835734304945319
48,-5.0,3.0513594150543213,0.9832193440595539
49,-4.0,2.8334500789642334,0.9828653850956924
50,-4.0,2.6146297454833984,0.982511553557058
51,-3.0,2.9561071395874023,0.9821578493977774
52,-5.0,2.7952492237091064,0.9818042725719942
53,-3.0,2.9810075759887695,0.9814508230338682
54,-5.0,3.0943191051483154,0.981097500737576
55,-4.0,2.799978256225586,0.9807443056373104
