Epoch,Total Reward,Epsilon,Loss
0,-5.0,0.999945060212482,0.00684123020619154
1,-4.0,0.9998641701416404,0.012531944550573826
2,-3.0,0.9997724738441999,0.01479942537844181
3,-4.0,0.9996946251316711,0.0195839311927557
4,-3.0,0.9996051066438015,0.020772626623511314
5,-2.0,0.9994926793777549,0.05275315046310425
6,-5.0,0.9994351734202879,0.00788508728146553
7,-4.0,0.9993612420753111,0.010500533506274223
8,-5.0,0.9993033114122475,0.015619482845067978
9,-4.0,0.999225931687392,0.0074197109788656235
10,-5.0,0.9991619574683718,0.009833583608269691
11,-4.0,0.9990837243231069,0.03264618664979935
12,-3.0,0.9989908034485069,0.025126606225967407
13,-2.0,0.9988693711206028,0.059063367545604706
14,-1.0,0.9987302391481112,0.003361660521477461
15,-5.0,0.9986697530614105,0.01208537444472313
16,-5.0,0.9986079746451125,0.023475097492337227
17,-5.0,0.9985487919327342,0.023518290370702744
18,-4.0,0.9984766542698276,0.04959404841065407
19,-5.0,0.9984209347504979,0.011787655763328075
20,-5.0,0.998363490766037,0.0026302167680114508
21,-4.0,0.9982835930029286,0.02816656231880188
22,-5.0,0.998222270430642,0.02409309521317482
23,-5.0,0.9981648379338293,0.00799554493278265
24,0.0,0.9980154426347465,0.010771878063678741
25,-4.0,0.9979394582733575,0.018486343324184418
26,-5.0,0.9978807470673037,0.016096964478492737
27,-2.0,0.9977771475250712,0.024426644667983055
28,-5.0,0.9977206040021624,0.06321755051612854
29,-4.0,0.9976506844046431,0.025247257202863693
30,-5.0,0.997593284959458,0.006190503016114235
31,-4.0,0.9975134491451946,0.01793055050075054
32,-2.0,0.997397375012349,0.005899475887417793
33,-4.0,0.9973197121698467,0.006720482837408781
34,-3.0,0.9972226421634622,0.012661146000027657
35,-4.0,0.9971531890093995,0.05187658593058586
36,-5.0,0.997093661603899,0.008619900792837143
37,-3.0,0.9970030832743044,0.0088303592056036
38,-5.0,0.9969470151193648,0.008794484660029411
39,-4.0,0.9968698187686937,0.01189064048230648
40,-2.0,0.9967658935064717,0.03194519132375717
41,-1.0,0.9966421460919879,0.027284950017929077
42,-3.0,0.9965485912246664,0.008713295683264732
43,-3.0,0.9964567694547702,0.013467567041516304
44,-3.0,0.9963679733902586,0.009438484907150269
45,-5.0,0.9963020280619738,0.009153284132480621
46,-5.0,0.9962477234383593,0.0073077492415905
47,-4.0,0.9961740290645502,0.04339154437184334
48,-2.0,0.9960667295105495,0.007085478864610195
49,-3.0,0.9959870164795037,0.04940108209848404
50,-1.0,0.9958577657330211,0.033353835344314575
51,-4.0,0.9957836695750397,0.015268158167600632
52,-5.0,0.9957194861032803,0.014715113677084446
53,-2.0,0.9956092208536158,0.03282628580927849
54,-5.0,0.9955472020438757,0.03174356371164322
55,-4.0,0.9954701146309397,0.04819134995341301
56,-2.0,0.995362460686735,0.011768181808292866
57,-5.0,0.9953047629893659,0.024252261966466904
58,-4.0,0.99523199979094,0.01507406122982502
59,-4.0,0.9951613944612617,0.02415549010038376
60,-2.0,0.9950602309652682,0.026864957064390182
61,0.0,0.9948906438690124,0.007593704387545586
62,-5.0,0.9948299611287478,0.02512970194220543
63,-2.0,0.9947215161348844,0.021290598437190056
64,-5.0,0.9946617043375883,0.009470487013459206
65,-4.0,0.9945932909584303,0.03260493278503418
66,-3.0,0.994505092008813,0.009754085913300514
67,-3.0,0.9944169009200561,0.01870563253760338
68,-4.0,0.9943364602943292,0.010769141837954521
69,-4.0,0.9942581767674255,0.018146175891160965
70,-3.0,0.994163556597641,0.02252243086695671
71,-4.0,0.9940900171713457,0.014596945606172085
72,-5.0,0.9940319635914922,0.01613285019993782
73,-4.0,0.9939571440035448,0.013553796336054802
74,-2.0,0.9938552436697483,0.013789246790111065
75,-5.0,0.9937972038696743,0.05326921492815018
76,-5.0,0.9937434663514748,0.014579877257347107
77,-4.0,0.9936755463071537,0.08167858421802521
78,-4.0,0.993597315076592,0.01982828415930271
79,-3.0,0.9935087751082647,0.026071105152368546
80,-5.0,0.9934494663610385,0.033304378390312195
81,-4.0,0.9933824259751501,0.01830914430320263
82,-5.0,0.9933196871689715,0.009246369823813438
83,-5.0,0.993259530410194,0.006223505362868309
84,-4.0,0.9931860581937819,0.03803164139389992
85,-2.0,0.9930825189053809,0.012753268703818321
86,-5.0,0.9930245244595596,0.027549300342798233
87,-5.0,0.9929639561170218,0.02483629249036312
88,-4.0,0.9928943715411634,0.020149845629930496
89,-3.0,0.992803747127523,0.018043596297502518
90,-4.0,0.9927307382444011,0.08203890919685364
91,-5.0,0.9926723350231215,0.06295833736658096
92,0.0,0.9925190429969177,0.0748370885848999
93,-4.0,0.9924499190832731,0.018614796921610832
94,-5.0,0.9923915324664616,0.01708662509918213
95,-1.0,0.9922631799103379,0.03173096477985382
96,-4.0,0.9921953615517666,0.02766166627407074
97,-1.0,0.9920678928157378,0.08040963113307953
98,-4.0,0.9919932218083941,0.07031542807817459
99,-5.0,0.9919374368115349,0.0181485116481781
100,-4.0,0.9918683536088985,0.03763476759195328
101,-2.0,0.9917701007381001,0.04303617402911186
102,-5.0,0.9917066062701575,0.06614987552165985
103,-3.0,0.991617806671635,0.013886041007936
104,-1.0,0.9914955594306307,0.055079005658626556
105,-4.0,0.9914153563130131,0.022281108424067497
106,-4.0,0.9913394481390533,0.055574480444192886
107,-4.0,0.9912661186712773,0.03994893655180931
108,-2.0,0.9911584928936662,0.013906014151871204
109,-4.0,0.991089035480739,0.07007551193237305
110,-1.0,0.9909629956337047,0.02327188476920128
111,-4.0,0.990892266042827,0.007948710583150387
112,-2.0,0.9907898242995297,0.007822304032742977
113,-3.0,0.9906993929463672,0.024221159517765045
114,-4.0,0.9906329676168517,0.01416398212313652
115,-3.0,0.9905386941896198,0.010781195014715195
116,-1.0,0.9903973009554281,0.020042473450303078
117,-4.0,0.9903231847285014,0.025522688403725624
118,-5.0,0.9902674941223748,0.018508443608880043
119,-5.0,0.9902045246904906,0.012350492179393768
120,-4.0,0.9901261397967057,0.007838266901671886
121,-2.0,0.9900194949570155,0.008513236418366432
122,-2.0,0.9899098641058418,0.018139492720365524
123,-5.0,0.9898537686632716,0.010579108260571957
124,-3.0,0.9897634231791005,0.024851609021425247
125,-4.0,0.989688498377773,0.041887685656547546
126,-4.0,0.9896110107232157,0.03195533901453018
127,-5.0,0.989552791967327,0.0454796627163887
128,-2.0,0.989447493256522,0.021376486867666245
129,-3.0,0.9893606088990268,0.0554063618183136
130,-4.0,0.989282291148914,0.009558413177728653
131,-3.0,0.9891915701797169,0.032957904040813446
132,-4.0,0.9891188282737202,0.008550290018320084
133,-3.0,0.9890225604884773,0.013926701620221138
134,-2.0,0.9889134683826406,0.07460377365350723
135,-4.0,0.9888339029454954,0.017426736652851105
136,-2.0,0.9887338136313039,0.014278030954301357
137,-4.0,0.9886611055582365,0.04200321063399315
138,-3.0,0.9885691589263764,0.007773884572088718
139,-1.0,0.9884284758349127,0.005159657448530197
140,-3.0,0.9883344132620276,0.036783311516046524
141,-5.0,0.9882762699896701,0.013071805238723755
142,-5.0,0.9882211225628065,0.0069584413431584835
143,-4.0,0.9881467425609873,0.025072935968637466
144,-5.0,0.9880898926756799,0.035992447286844254
145,-3.0,0.987999709000536,0.007757978513836861
146,-3.0,0.9879133797736496,0.010387119837105274
147,-2.0,0.9878056925550124,0.013037369586527348
148,-5.0,0.98774458957887,0.01395509298890829
149,-5.0,0.9876834904016208,0.004352876916527748
150,-4.0,0.9876057333062885,0.010032013058662415
151,-5.0,0.9875450699554245,0.01068784762173891
152,-2.0,0.9874327244859952,0.017548656091094017
153,-5.0,0.9873763430084217,0.016606777906417847
154,-5.0,0.9873169751016534,0.04456296190619469
155,-2.0,0.9872080720828449,0.041311733424663544
156,-5.0,0.9871487143451861,0.020277610048651695
157,-3.0,0.9870586170089632,0.03785180300474167
158,-3.0,0.9869710895981834,0.021981416270136833
159,-2.0,0.9868477105476408,0.007958509027957916
160,-4.0,0.9867606287865622,0.06448650360107422
161,-2.0,0.9866432513808225,0.04802621155977249
162,-4.0,0.9865655765967996,0.03254532814025879
163,-2.0,0.9864716922057545,0.01409919187426567
164,-5.0,0.9864153658814945,0.007331489585340023
165,-5.0,0.9863594694677202,0.018974917009472847
166,-5.0,0.9863005896659639,0.00712594436481595
167,-3.0,0.9862131298154796,0.05252360180020332
168,-5.0,0.9861534056165936,0.06112818419933319
169,-3.0,0.9860565748198116,0.019634539261460304
170,-5.0,0.9860011253630822,0.07805544137954712
171,-5.0,0.9859409875722478,0.042178887873888016
172,-5.0,0.9858842652334326,0.03969105705618858
173,-2.0,0.9857725360853044,0.021483013406395912
174,-4.0,0.9856825649926876,0.02264266461133957
175,-3.0,0.9855900440892408,0.029767397791147232
176,-3.0,0.9855000897375131,0.010834678076207638
177,-5.0,0.9854450980137841,0.03624904900789261
178,-5.0,0.9853849943087992,0.049218349158763885
179,-3.0,0.9852993209289922,0.013614824041724205
180,-5.0,0.9852430618867181,0.02924637496471405
181,-5.0,0.9851842490674071,0.032372646033763885
182,-5.0,0.9851314057758546,0.008996269665658474
183,-4.0,0.9850627989787163,0.028911735862493515
184,-3.0,0.9849643715274106,0.033458877354860306
185,-2.0,0.9848480609201431,0.005349189508706331
186,-2.0,0.9847415614842477,0.01768657937645912
187,-3.0,0.9846461478219569,0.061960045248270035
188,-3.0,0.9845447809870351,0.038049183785915375
189,-3.0,0.9844630137052172,0.02360147051513195
190,-4.0,0.9843876405387759,0.010758853517472744
191,-4.0,0.9843144021146064,0.022261781617999077
192,-4.0,0.984232228310378,0.056673698127269745
193,-3.0,0.9841475071001382,0.010156555101275444
194,-5.0,0.9840908884682821,0.03681502863764763
195,-4.0,0.984022354504806,0.06342950463294983
196,-3.0,0.9839372258274539,0.008376347832381725
197,-3.0,0.9838478486828101,0.031263567507267
198,-3.0,0.9837537986906935,0.014968901872634888
199,-2.0,0.983640184735696,0.020963527262210846
200,-3.0,0.9835436019706478,0.016077900305390358
201,-4.0,0.9834785097134788,0.027401989325881004
202,-4.0,0.9834087424288669,0.08229026198387146
203,-3.0,0.9833228163909044,0.021331671625375748
204,-2.0,0.9832062753103625,0.0850665345788002
205,-5.0,0.9831514122360957,0.023790268227458
206,-4.0,0.9830786915083596,0.008966723456978798
207,-5.0,0.9830208589999267,0.025538548827171326
208,-4.0,0.9829519747392886,0.012916077859699726
209,-4.0,0.9828771430165589,0.014922559261322021
210,-4.0,0.982804442679385,0.016502495855093002
211,-5.0,0.9827470514942463,0.03512052446603775
212,-5.0,0.9826892385952518,0.06493455171585083
213,-1.0,0.9825587470450996,0.014399138279259205
214,-5.0,0.9825005202799812,0.007947186008095741
215,-5.0,0.9824469717182572,0.06409043073654175
216,-3.0,0.9823492319081575,0.027359096333384514
217,-2.0,0.9822323819205134,0.008659438230097294
218,-3.0,0.9821304151659753,0.023441091179847717
219,-2.0,0.9820318574166591,0.014876049943268299
220,-3.0,0.9819384066649699,0.03195493668317795
221,-5.0,0.981876394282178,0.08802904188632965
222,-5.0,0.9818190575678467,0.02562994882464409
223,-2.0,0.9817128873535533,0.06015043333172798
224,-5.0,0.9816525878106435,0.034681536257267
225,-5.0,0.9815956888391225,0.008511895313858986
226,-4.0,0.981519687175616,0.07101159542798996
227,-4.0,0.9814432668861482,0.02151937037706375
228,-4.0,0.9813778898300564,0.03564133495092392
229,-3.0,0.9812874729339757,0.013940391130745411
230,-3.0,0.9811949422456734,0.009841622784733772
231,-4.0,0.9811215181701315,0.028014864772558212
232,-3.0,0.9810328224621073,0.07940391451120377
233,-4.0,0.9809551672877733,0.026044031605124474
234,-3.0,0.9808669109851639,0.054540254175662994
235,-3.0,0.9807778141608169,0.07666072249412537
236,-4.0,0.9807078152197931,0.013191158883273602
237,-2.0,0.9805941306717697,0.017874743789434433
238,-4.0,0.980521600065291,0.013775499537587166
239,-5.0,0.9804626464109045,0.007093159481883049
240,-3.0,0.9803744346472995,0.013439305126667023
241,-4.0,0.9802993761115746,0.02189025469124317
242,-3.0,0.9802073630763377,0.02383088879287243
243,-5.0,0.9801484284122215,0.06411386281251907
244,-4.0,0.9800818662043659,0.014364831149578094
245,-3.0,0.9799894497811992,0.07423985004425049
246,-2.0,0.9798872931954107,0.052220650017261505
247,-3.0,0.9797987096357779,0.007857096381485462
248,-3.0,0.9797033535566759,0.01974436640739441
249,-5.0,0.9796436018348011,0.015328901819884777
250,-3.0,0.9795457186320513,0.014179637655615807
251,-4.0,0.9794766554479551,0.017787203192710876
252,-5.0,0.9794177649426613,0.020545240491628647
253,-2.0,0.979310584883529,0.07001320272684097
254,-4.0,0.9792305252597007,0.019167542457580566
255,-2.0,0.979120401077025,0.03416818752884865
256,-3.0,0.9790369691201349,0.021480150520801544
257,-3.0,0.97893787648677,0.06477035582065582
258,-3.0,0.9788481089588087,0.01746407151222229
259,-3.0,0.9787621600709051,0.058386608958244324
260,-4.0,0.978688495633094,0.01100089866667986
261,-5.0,0.9786351558983046,0.0098717100918293
262,-3.0,0.97854160675391,0.0172232948243618
263,-2.0,0.9784315604445769,0.021119706332683563
264,0.0,0.9782986749461066,0.022068848833441734
265,-2.0,0.9781971186439244,0.012666076421737671
266,-4.0,0.9781222276604189,0.023799918591976166
267,-5.0,0.9780684958730653,0.01871575228869915
268,-4.0,0.9779940378283339,0.015958528965711594
269,-3.0,0.9779047802956522,0.012734162621200085
270,-5.0,0.9778506375362134,0.008210625499486923
271,-2.0,0.9777394005406794,0.00841863639652729
272,0.0,0.9775901176453378,0.01860811561346054
273,-4.0,0.9775233072277271,0.03936704993247986
274,-3.0,0.9774281737314516,0.03798860311508179
275,-2.0,0.9773351633110553,0.031857214868068695
276,-3.0,0.9772552660086783,0.021176736801862717
277,-4.0,0.9771753752715053,0.010435287840664387
278,-2.0,0.9770536496283664,0.021318240091204643
279,-5.0,0.9769978638023441,0.009617913514375687
280,-3.0,0.9769002463103749,0.04633461683988571
281,-4.0,0.9768284128599599,0.04790443181991577
282,-3.0,0.9767409522385896,0.01814967766404152
283,-4.0,0.976665750848812,0.015039188787341118
284,-2.0,0.9765685891318939,0.06482304632663727
285,-3.0,0.9764832638114499,0.025541305541992188
286,-2.0,0.9763831639542818,0.020959164947271347
287,-5.0,0.9763236157682265,0.024805959314107895
288,-4.0,0.9762484466754129,0.008275787346065044
289,-4.0,0.9761732833998082,0.04225114360451698
290,-5.0,0.976117970322815,0.06363376975059509
291,-3.0,0.976029729264351,0.012273890897631645
292,-4.0,0.9759550050691755,0.06749282032251358
293,-4.0,0.9758781760172683,0.017313582822680473
294,-5.0,0.9758199250742531,0.017092527821660042
295,-4.0,0.9757545024576979,0.03076229803264141
296,-4.0,0.9756802214769924,0.08174450695514679
297,-4.0,0.975614386268581,0.05769382789731026
298,-5.0,0.9755599489883239,0.01631954312324524
299,-2.0,0.9754515055223913,0.04918622598052025
300,-2.0,0.9753574184811491,0.013927973806858063
301,-3.0,0.9752624968549312,0.006290837656706572
302,-3.0,0.9751743335294375,0.03186165913939476
303,-4.0,0.9751026276417747,0.009733239188790321
304,-3.0,0.9750140570975329,0.02241290733218193
305,-3.0,0.9749238078143173,0.02025509625673294
306,-5.0,0.9748673008559503,0.031702570617198944
307,-3.0,0.9747715838936718,0.025549843907356262
308,-5.0,0.9747176154985722,0.01063681859523058
309,-2.0,0.9746042073312361,0.050166212022304535
310,-2.0,0.974500507383548,0.04982203245162964
311,-5.0,0.974442339098171,0.02236276865005493
312,-3.0,0.9743538288383919,0.13245446979999542
313,-4.0,0.9742838693040979,0.06802237033843994
314,-4.0,0.9742042227281875,0.060356467962265015
315,-3.0,0.974108571205608,0.01988835260272026
316,-5.0,0.9740533757240908,0.024400925263762474
317,-3.0,0.9739560539462914,0.023468878120183945
318,-5.0,0.973892020705587,0.020929004997015
319,-5.0,0.973837258791181,0.027899544686079025
320,-2.0,0.9737479613854448,0.02677460014820099
321,-3.0,0.9736624626211365,0.012680617161095142
322,-5.0,0.9736056080147321,0.059551987797021866
323,-3.0,0.9735243327803073,0.041401080787181854
324,-3.0,0.9734375905724935,0.06548414379358292
325,-5.0,0.9733803281296963,0.03395193815231323
326,-4.0,0.973312964884749,0.03407786041498184
327,-3.0,0.9732270835435272,0.07741961628198624
328,-4.0,0.9731529959579129,0.016661914065480232
329,-2.0,0.9730452423169375,0.08669078350067139
330,-4.0,0.9729686435067123,0.023258838802576065
331,-5.0,0.9729114087921392,0.019218366593122482
332,-4.0,0.9728407117582027,0.020668698474764824
333,-3.0,0.9727616045331462,0.010064495727419853
334,-3.0,0.9726694611846523,0.022848153486847878
335,-5.0,0.9726114027587514,0.01782059669494629
336,-2.0,0.9725070746322453,0.009327800944447517
337,-2.0,0.9724141142882405,0.03617124259471893
338,-5.0,0.9723539682369987,0.004976551979780197
339,-4.0,0.9722807885744934,0.06907445937395096
340,-3.0,0.9721958398182577,0.012989603914320469
341,-5.0,0.9721407532761649,0.025560231879353523
342,-5.0,0.9720848289278254,0.04909836873412132
343,-4.0,0.9720083061125224,0.011493252590298653
344,-4.0,0.9719296873289193,0.015907375141978264
345,-3.0,0.9718409861089607,0.02937166951596737
346,-4.0,0.9717695265900458,0.028129909187555313
347,-3.0,0.9716791588798124,0.027533486485481262
348,-4.0,0.9716098126449939,0.012837285175919533
349,-5.0,0.9715551797213112,0.012168272398412228
350,-4.0,0.9714871030148604,0.010239584371447563
351,-3.0,0.9714009634380429,0.016576573252677917
352,-5.0,0.9713446617176739,0.024756018072366714
353,-5.0,0.9712854224042443,0.05391467362642288
354,-5.0,0.9712320681170196,0.05739603936672211
355,-4.0,0.9711652743828163,0.007462121546268463
356,-4.0,0.9710989053088442,0.018001291900873184
357,-5.0,0.9710443012617166,0.005610263906419277
358,-4.0,0.970977100517334,0.017876235768198967
359,-5.0,0.970920823490868,0.03825705125927925
360,-2.0,0.970813318286567,0.012020818889141083
361,-3.0,0.970721780318919,0.019184580072760582
362,-4.0,0.9706541821602598,0.008625524118542671
363,-2.0,0.9705525838913569,0.03877629339694977
364,-3.0,0.9704526753584675,0.051070068031549454
365,-5.0,0.9703985275747472,0.05994229391217232
366,-3.0,0.9703099668156101,0.03672021999955177
367,-5.0,0.9702549876832252,0.019138187170028687
368,-5.0,0.9701966544705778,0.005143043585121632
369,-5.0,0.9701391640342611,0.09688010811805725
370,-2.0,0.9700296479343952,0.029064860194921494
371,-3.0,0.9699440577961971,0.06042240187525749
372,-3.0,0.9698530217166441,0.02233622595667839
373,-5.0,0.9697930348935992,0.01802426390349865
374,-3.0,0.9697066268653262,0.020910803228616714
375,-5.0,0.9696504238556036,0.02472648397088051
376,0.0,0.9695208338734859,0.055290721356868744
377,-3.0,0.9694298377223063,0.06659948080778122
378,-4.0,0.9693631685727675,0.04349006712436676
