Epoch,Total Reward,Epsilon,Loss
0,-4.0,0.9999,0.00433747936040163
1,-4.0,0.9998,0.01219960954040289
2,-4.0,0.9997,0.049053311347961426
3,-5.0,0.9996,0.05244040489196777
4,-3.0,0.9995,0.013439913280308247
5,-5.0,0.9994000000000001,0.014827887527644634
6,-3.0,0.9993000000000001,0.03849649056792259
7,-4.0,0.9992000000000001,0.007403162308037281
8,-1.0,0.9991000000000001,0.03926829993724823
9,-4.0,0.9990000000000001,0.005752170458436012
10,-2.0,0.9989000000000001,0.0072253914549946785
11,-4.0,0.9988000000000001,0.012815162539482117
12,-3.0,0.9987000000000001,0.020746223628520966
13,3.0,0.9986000000000002,0.0052587538957595825
14,-3.0,0.9985000000000002,0.005039707757532597
15,-4.0,0.9984000000000002,0.006497614085674286
16,-3.0,0.9983000000000002,0.008477594703435898
17,-3.0,0.9982000000000002,0.026258273050189018
18,-3.0,0.9981000000000002,0.01201008539646864
19,-5.0,0.9980000000000002,0.03542853891849518
20,-3.0,0.9979000000000002,0.0035152831114828587
21,-2.0,0.9978000000000002,0.005941181443631649
22,-2.0,0.9977000000000003,0.019502438604831696
23,0.0,0.9976000000000003,0.006772343534976244
24,-4.0,0.9975000000000003,0.009151763282716274
25,-4.0,0.9974000000000003,0.00253074592910707
26,-5.0,0.9973000000000003,0.005936499685049057
27,-4.0,0.9972000000000003,0.01075797900557518
28,-3.0,0.9971000000000003,0.011607524938881397
29,-4.0,0.9970000000000003,0.0038037137128412724
30,-3.0,0.9969000000000003,0.017016150057315826
31,-5.0,0.9968000000000004,0.0038701132871210575
32,-1.0,0.9967000000000004,0.009313561022281647
33,-4.0,0.9966000000000004,0.0030465624295175076
34,-3.0,0.9965000000000004,0.00543800788000226
35,1.0,0.9964000000000004,0.0024364828132092953
36,-1.0,0.9963000000000004,0.0033338521607220173
37,-3.0,0.9962000000000004,0.01570560224354267
38,-4.0,0.9961000000000004,0.01606648601591587
39,-4.0,0.9960000000000004,0.006251676939427853
40,-4.0,0.9959000000000005,0.028366457670927048
41,-4.0,0.9958000000000005,0.008135049603879452
42,-5.0,0.9957000000000005,0.015290753915905952
43,-3.0,0.9956000000000005,0.03240465372800827
44,0.0,0.9955000000000005,0.01241033710539341
45,-1.0,0.9954000000000005,0.021922267973423004
46,-3.0,0.9953000000000005,0.0041865454986691475
47,3.0,0.9952000000000005,0.006531915627419949
48,-2.0,0.9951000000000005,0.010760541073977947
49,-3.0,0.9950000000000006,0.007791108451783657
50,-2.0,0.9949000000000006,0.06902298331260681
51,2.0,0.9948000000000006,0.023217013105750084
52,-2.0,0.9947000000000006,0.002099542412906885
53,-2.0,0.9946000000000006,0.014112016186118126
54,1.0,0.9945000000000006,0.009661098010838032
55,-4.0,0.9944000000000006,0.013902797363698483
56,-4.0,0.9943000000000006,0.011851062066853046
57,-2.0,0.9942000000000006,0.014809043146669865
58,2.0,0.9941000000000006,0.009346491657197475
59,2.0,0.9940000000000007,0.004940093494951725
60,-3.0,0.9939000000000007,0.016479620710015297
61,2.0,0.9938000000000007,0.005535302683711052
62,-3.0,0.9937000000000007,0.011615985073149204
63,-4.0,0.9936000000000007,0.005654306150972843
64,2.0,0.9935000000000007,0.0027884473092854023
65,-4.0,0.9934000000000007,0.0026317944284528494
66,-3.0,0.9933000000000007,0.006769193336367607
67,-2.0,0.9932000000000007,0.0020465862471610308
68,2.0,0.9931000000000008,0.004082440864294767
69,-2.0,0.9930000000000008,0.03580057993531227
70,-2.0,0.9929000000000008,0.002478738548234105
71,-1.0,0.9928000000000008,0.003998422063887119
72,2.0,0.9927000000000008,0.04312024265527725
73,-4.0,0.9926000000000008,0.004435556009411812
74,-3.0,0.9925000000000008,0.025229528546333313
75,-2.0,0.9924000000000008,0.01773948036134243
76,-1.0,0.9923000000000008,0.0010280649876222014
77,-2.0,0.9922000000000009,0.017090268433094025
78,0.0,0.9921000000000009,0.011937917210161686
79,-2.0,0.9920000000000009,0.011841217055916786
80,-2.0,0.9919000000000009,0.003655611304566264
81,-2.0,0.9918000000000009,0.0035234938841313124
82,-3.0,0.9917000000000009,0.013600273057818413
83,-2.0,0.9916000000000009,0.011751757003366947
84,-3.0,0.9915000000000009,0.003085298230871558
85,-4.0,0.991400000000001,0.0028351687360554934
86,-5.0,0.991300000000001,0.001757118385285139
87,-2.0,0.991200000000001,0.0008252630941569805
88,-4.0,0.991100000000001,0.001726582646369934
89,-4.0,0.991000000000001,0.0028765900060534477
90,-3.0,0.990900000000001,0.011957146227359772
91,-4.0,0.990800000000001,0.011859259568154812
92,-2.0,0.990700000000001,0.0023385672830045223
93,-4.0,0.990600000000001,0.03357383981347084
94,-3.0,0.990500000000001,0.0077918050810694695
95,-3.0,0.9904000000000011,0.0014187898486852646
96,-3.0,0.9903000000000011,0.0030533508397638798
97,-3.0,0.9902000000000011,0.0016671412158757448
