Epoch,Total Reward,Epsilon,Loss
0,-5.0,0.99964,0.0
1,-3.0,0.9992801295999999,0.0
2,-5.0,0.9989203887533439,0.0
3,-5.0,0.9985607774133927,0.0
4,-3.0,0.9982012955335238,0.008605578914284706
5,-3.0,0.9978419430671317,0.020410865545272827
6,-5.0,0.9974827199676275,0.00870123878121376
7,-3.0,0.9971236261884391,0.016133248805999756
8,-2.0,0.9967646616830113,0.006351815536618233
9,-3.0,0.9964058264048054,0.006508844904601574
10,-1.0,0.9960471203072996,0.0040072123520076275
11,-4.0,0.9956885433439889,0.005341224372386932
12,-3.0,0.995330095468385,0.006748964544385672
13,-1.0,0.9949717766340164,0.005975870881229639
14,-3.0,0.9946135867944281,0.0067811328917741776
15,-3.0,0.9942555259031821,0.007673395797610283
16,-3.0,0.9938975939138569,0.0036610732786357403
17,-5.0,0.9935397907800478,0.0033374615013599396
18,-4.0,0.993182116455367,0.007967090234160423
19,-4.0,0.9928245708934431,0.008323383517563343
20,-2.0,0.9924671540479214,0.006120640318840742
21,-3.0,0.9921098658724641,0.005573865957558155
22,-5.0,0.99175270632075,0.005162220448255539
23,-5.0,0.9913956753464744,0.008995180949568748
24,-5.0,0.9910387729033496,0.010181529447436333
25,-4.0,0.9906819989451044,0.008440298959612846
26,-4.0,0.9903253534254842,0.005513454787433147
27,-4.0,0.989968836298251,0.007180118001997471
28,-3.0,0.9896124475171837,0.00473176222294569
29,-4.0,0.9892561870360774,0.00827943254262209
30,-3.0,0.9889000548087444,0.007937717251479626
31,-5.0,0.9885440507890133,0.010142074897885323
32,-5.0,0.9881881749307292,0.010483226738870144
33,-5.0,0.9878324271877541,0.010193850845098495
34,-5.0,0.9874768075139665,0.006790562998503447
35,-4.0,0.9871213158632615,0.006680697668343782
36,-4.0,0.9867659521895507,0.004783928859978914
37,-4.0,0.9864107164467624,0.006268918514251709
38,-5.0,0.9860556085888416,0.0046126460656523705
39,-4.0,0.9857006285697496,0.010666584596037865
40,-5.0,0.9853457763434644,0.005421646870672703
41,-3.0,0.9849910518639807,0.007989667356014252
42,-4.0,0.9846364550853096,0.002971964655444026
43,-4.0,0.9842819859614789,0.007347071543335915
44,-2.0,0.9839276444465327,0.00628439337015152
45,-4.0,0.9835734304945319,0.012125706300139427
46,-3.0,0.9832193440595539,0.0047812312841415405
47,-5.0,0.9828653850956924,0.008264264091849327
48,-4.0,0.982511553557058,0.0205377247184515
49,-4.0,0.9821578493977774,0.0036728610284626484
50,-4.0,0.9818042725719942,0.0042198458686470985
51,-3.0,0.9814508230338682,0.009003542363643646
52,-2.0,0.981097500737576,0.037381526082754135
53,-4.0,0.9807443056373104,0.010470393113791943
54,-5.0,0.980391237687281,0.007741593290120363
55,-3.0,0.9800382968417135,0.007705471478402615
56,-2.0,0.9796854830548505,0.008597739972174168
57,-3.0,0.9793327962809507,0.018273867666721344
58,-5.0,0.9789802364742896,0.0046402812004089355
59,-3.0,0.9786278035891588,0.01180434413254261
60,-5.0,0.9782754975798666,0.011498214676976204
61,-4.0,0.9779233184007379,0.007463185582309961
62,-5.0,0.9775712660061135,0.019368741661310196
63,-4.0,0.9772193403503513,0.0161574799567461
64,-3.0,0.9768675413878252,0.008123476058244705
65,-3.0,0.9765158690729255,0.009377816691994667
66,-5.0,0.9761643233600592,0.011170823127031326
67,-4.0,0.9758129042036495,0.021155046299099922
68,-4.0,0.9754616115581362,0.019924674183130264
