Epoch,Total Reward,Epsilon,Loss
0,-2.0,0.99964,0.033062078058719635
1,-4.0,0.9992801295999999,0.004323387518525124
2,-4.0,0.9989203887533439,0.0015472585801035166
3,-4.0,0.9985607774133927,0.0058010052889585495
4,-3.0,0.9982012955335238,0.0008039082167670131
5,-5.0,0.9978419430671317,0.0037058661691844463
6,-1.0,0.9974827199676275,0.012154796160757542
7,-4.0,0.9971236261884391,0.004653125070035458
8,-3.0,0.9967646616830113,0.004430364817380905
9,-2.0,0.9964058264048054,0.0016832661349326372
10,-2.0,0.9960471203072996,0.00578604731708765
11,-5.0,0.9956885433439889,0.0010125227272510529
12,-3.0,0.995330095468385,0.0015898948768153787
13,-5.0,0.9949717766340164,0.00196941033937037
14,-1.0,0.9946135867944281,0.005186112597584724
15,-5.0,0.9942555259031821,0.000956050818786025
16,-2.0,0.9938975939138569,0.013397028669714928
17,-3.0,0.9935397907800478,0.008326468989253044
18,-3.0,0.993182116455367,0.0014845873229205608
19,-5.0,0.9928245708934431,0.007543459068983793
20,-4.0,0.9924671540479214,0.012605787254869938
21,-4.0,0.9921098658724641,0.0023661793675273657
22,-3.0,0.99175270632075,0.0033453707583248615
23,-1.0,0.9913956753464744,0.006460745818912983
24,-1.0,0.9910387729033496,0.004246851429343224
25,-4.0,0.9906819989451044,0.0038206269964575768
26,-4.0,0.9903253534254842,0.004620677791535854
27,-4.0,0.989968836298251,0.003194066695868969
28,-4.0,0.9896124475171837,0.0013443981297314167
29,-4.0,0.9892561870360774,0.012352267280220985
30,-5.0,0.9889000548087444,0.0008255414431914687
31,-5.0,0.9885440507890133,0.005337388254702091
32,-4.0,0.9881881749307292,0.0015000703278928995
33,-3.0,0.9878324271877541,0.0027886461466550827
34,-5.0,0.9874768075139665,0.003374870168045163
35,-5.0,0.9871213158632615,0.003907742910087109
36,-3.0,0.9867659521895507,0.002773621818050742
37,-2.0,0.9864107164467624,0.008135875687003136
38,-5.0,0.9860556085888416,0.002975302282720804
39,-4.0,0.9857006285697496,0.002208413789048791
40,-5.0,0.9853457763434644,0.002683927770704031
41,-3.0,0.9849910518639807,0.0061904555186629295
42,-4.0,0.9846364550853096,0.006234815809875727
43,-4.0,0.9842819859614789,0.00565384142100811
44,0.0,0.9839276444465327,0.008893521502614021
45,-3.0,0.9835734304945319,0.005035998299717903
46,-5.0,0.9832193440595539,0.004304209258407354
47,-1.0,0.9828653850956924,0.013505515642464161
48,-5.0,0.982511553557058,0.004326666239649057
49,-4.0,0.9821578493977774,0.0010551192099228501
50,-3.0,0.9818042725719942,0.007554700598120689
51,-2.0,0.9814508230338682,0.003705293172970414
52,-5.0,0.981097500737576,0.005555909126996994
53,-4.0,0.9807443056373104,0.0009753842605277896
54,-5.0,0.980391237687281,0.0015718709910288453
55,-2.0,0.9800382968417135,0.0028364663012325764
56,-5.0,0.9796854830548505,0.007008795160800219
57,-4.0,0.9793327962809507,0.0026441053487360477
58,-2.0,0.9789802364742896,0.004794097505509853
59,-5.0,0.9786278035891588,0.0017166679026558995
60,-4.0,0.9782754975798666,0.0010115463519468904
61,-5.0,0.9779233184007379,0.001724383793771267
62,-3.0,0.9775712660061135,0.004048491828143597
63,-4.0,0.9772193403503513,0.0025965154636651278
64,-3.0,0.9768675413878252,0.007442524190992117
65,-3.0,0.9765158690729255,0.003919446375221014
66,-4.0,0.9761643233600592,0.0021237567998468876
67,-4.0,0.9758129042036495,0.005808137822896242
68,-3.0,0.9754616115581362,0.002318297978490591
69,-4.0,0.9751104453779752,0.007162841036915779
70,-2.0,0.9747594056176391,0.005894504487514496
71,-4.0,0.9744084922316167,0.0034430460073053837
