Epoch,Total Reward,Epsilon,Loss
0,-2.0,0.99964,0.0
1,-4.0,0.9992801295999999,0.0
2,-5.0,0.9989203887533439,0.0
3,-2.0,0.9985607774133927,0.03125
4,-3.0,0.9982012955335238,0.0
